GDP_Rate,Life_expectancy,Murder,Population_Growth,Inflation_Rate,Fuel_Exports,Agriculture_Exports,Manufacturing_Exports,Merchandise_Exports,Recession
0,44.611,,3.552752715,,1533.493814,80.188103,11.930711,1629,0
-0.735659159,70.033,,1.596433496,207.6176814,672.697552,5107.546662,1842.555199,7625,0
,72.751,,1.279733959,,9049.94831,,,,0
3.322867861,74.90487805,,1.667535733,11.72269179,47.599951,8925.690814,2834.94785,21360,0
-4.900938478,72.98,,0.308254116,,3560.700405,55.04787,157.592414,257,0
0.83,63.326,,2.341859987,104.8323636,,8717.666944,6879.379213,20175,0
,39.157,,2.486716675,,16545.17589,,,12,0
,75.76341463,,1.189624341,8.83802407,5738,14889.98918,35291.49108,71234,0
9.017113914,67.627,,1.47267476,-0.064555702,,4301,10102,22321,0
8.918234965,74.175,,0.417587904,-2.227549547,1473.166525,,,5920,0
0.614845354,64.669,,2.550236828,-9.182174017,6430.940467,748.37944,66.942166,2327.4,0
2.505396616,74.5,,0.519414629,12.09580505,10865.861,17380.24837,68174.17334,96694,0
-0.394840775,73.227,,-0.095113437,4.581058552,1907.532861,11837.60801,149429.022,176424,0
3.47573324,54.686,,2.328678839,8.095863095,132,2821.788486,4607.76967,9357.88,0
,74.1097561,,1.878107037,127.2443675,5994.713633,909,4211,5255,0
0.413585695,74.81463415,,0.07408186,17.54095015,17221.37072,6170.291514,60881.75885,73791,0
-0.520808042,67.493,,2.35088894,60.92232761,807.677272,1961.108138,4765.390132,24055,0
8.957372023,59.139,,2.432674755,6.298352503,,544.220161,706.035277,2062,0
0.235354478,76.01097561,,0.36727828,10.50995828,10528.85706,1502.448599,5490.412428,17593.4,0
-0.222723444,61.378,,2.422529785,66.66333315,1900.339544,471.691536,383.459137,3259,0
3.698406099,64.067,,2.737318501,8.701224355,629.595539,1916.349661,2423.0548,4969,0
1.246461705,76.13414634,,0.600390137,13.58232336,,3618.450824,14405.1898,20498,0
1.994891312,74.17804878,,-0.035842794,7.402275688,2196.22849,8318.877586,62963.27297,96984,0
-1.802887409,74.36097561,,0.953317566,6.203739761,22769.65275,44779.84131,141823.6278,216442,0
,68.203,,2.299439377,,18552.60539,,,526,0
,50.999,4.099397334,6.900124486,,,,,189,0
0.991359302,45.271,4.099397334,3.324464731,169.905533,3399.018,10.4309,0.0622,3410,0
9.133110567,71.813,4.099397334,1.401455104,132.9532282,969.127659,7644.964,3357.187,11978,0
7.962872496,73.509,4.099397334,3.898738693,,17653.928,,,878.77095,0
-0.395087177,77.27560976,2.205110668,1.274577578,3.042064209,59.063169,11807.8061,8275.759218,41854,0
-3.899906828,74.892,13.03016483,0.374490009,3.224689544,4988.102208,53.517,90.568,207,0
1.032189585,66.742,19.66480208,1.759414194,414.2362617,,8956.09104,17213.94054,31620,0
,53.916,4.099397334,3.435353458,,23450.72282,,,213,0
,77.62195122,2.385506317,1.242761231,3.094211252,5977.903216,21520.4872,74006.11364,127163,0
9.262786084,69.242,4.099397334,1.364434008,6.683985627,,10894.601,54246.456,71910,0
-10.69269711,74.696,4.099397334,0.719759841,-7.387843306,1156.212576,,,2800,0
4.291342398,69.347,8.718659133,2.333489945,6.889320383,10699.26057,1621.555,69.499,2851.5,0
1.048175847,76.84878049,2.39116827,0.554122623,2.569563408,14677.992,36162.904,165764.782,217100,0
5.108261522,75.3195122,1.177676257,0.728605547,3.085079746,1432.086616,25877.406,354790.349,402843,0
1.056831433,58.353,5.057039129,2.039728736,13.75181894,254.398499,3361.013472,12827.64288,17726.8,0
,76.75853659,3.304597572,6.017008783,20.12976969,6201.053628,1218.813361,10397.95182,11921,0
1.538447558,77.0195122,3.144707171,0.069231189,7.581328697,9292.928,12775.247,148406.713,169465,0
4.214754839,71.248,17.26525939,1.852437377,23.25061944,636,3892.745,29369.892,42688,0
7.216088161,65.251,0.358763035,1.809377452,5.396316179,1.294972,1327,2321,4284,0
3.084721395,76.98073171,1.106589008,0.476503585,2.211703307,19624.63234,3166.102592,11148.26672,34107.1,0
2.219259103,66.757,4.099397334,2.02254668,382.6433865,1569.765597,945.427,573.225,3393.143625,0
-0.436390081,66.811,14.99470823,2.488547362,16.5268799,869.76922,1794.05,6137.18078,8801,0
2.546000548,76.97121951,1.234507228,0.254527425,6.935139483,,10368.495,44776.485,60177,0
-1.103121662,76.08292683,1.24871696,0.309247932,6.401250094,4182.470644,15675.097,148556.191,184964,0
-0.108264791,75.36585366,9.296355416,1.336260741,3.328513079,17688.33887,58715.95405,318924.8212,421730,0
5.960843933,70.842,4.099397334,2.10754383,72.5463846,23705.40723,,,2087.1,0
21.39052839,54.311,4.763565924,2.396978302,-2.107082554,0.556655,251.097618,72.794057,403.441,0
0.860000002,75.116,6.52623068,3.703841815,-7.418798779,39435.16685,31.920879,1352.187555,40827.9,0
-5.918525076,74.872,3.942751252,0.999542289,15.37764937,7750.909891,28181.65881,17786.90707,55672.1,0
-11.68358552,60.484,3.926774495,0.088751275,-5.132055593,87959.77464,103.191188,26.968832,1951.787709,0
1.86683207,81.54390244,1.209148037,2.06104513,4.925265473,73.061953,23491.66646,22919.75905,154331.058,0
-5.017744078,73.3,26.54181631,0.413865235,0.292507275,32660,96.08821,208.682795,378.522,0
-0.125812003,78.272,6.758992128,0.961946715,7.313539982,37.96535,57659,58141,151791.6742,0
0.086696959,74.003,1.352998286,1.499593466,2.504384662,92985.31796,96.995975,4060.350564,4196.21,0
-2.928400167,66.014,2.348582921,1.141758099,-2.29424686,34328.52558,43679.3088,156849.4834,316093.637,0
9.398725632,80.99512195,1.807616662,0.497381401,-0.133898166,,40882.57993,1124743.287,1201612,0
1.451305431,74.119,1.077529358,-0.09138305,0.634175021,7032.18499,,,3092.127,0
0.566491592,74.895,17.76720454,1.628632124,0.655537559,28352.47637,5586.407482,1190.166565,13863.054,0
-2.873313828,79.83658537,0.992583915,0.514489544,0.096624424,52940.76875,63851.44555,383100.0357,484781.161,0
-5.693836336,78.256,5.032640459,-0.25338341,1.7569942,35171.13599,76725.16411,963893.9695,1120040.632,0
7.861888833,81.40487805,2.002771335,1.410582714,6.063829304,574.239,16383.58983,113303.2154,164908.7,0
1.14297478,81.63658537,0.998212996,2.390207338,3.884727031,22365.26176,2047.712,44640.622,47935,0
-5.280937208,75.128,17.60831917,0.45561345,1.957826338,36200.095,36276.2846,339963.0896,406909.3522,0
-5.285744137,74.12,4.763565924,1.476755803,3.53693541,1680.972815,16558.762,171568.174,229712.337,0
4.243757321,80.79512195,0.600806282,1.236207263,0.146912227,1821.379701,3450.732261,8895.983576,14054.337,0
-1.727020309,69.667,9.833990702,1.261127289,-5.205030128,78232.69219,8203.122589,24178.71564,116778.108,0
1.095823659,81.47560976,0.884432076,0.803219607,2.063698334,11855.05724,4860.207838,3267.291134,26961.721,0
1.448323063,80.05121951,1.123691719,1.649858437,2.773246712,2237.390601,3173.99204,32786.5963,38435.80616,0
-3.763231927,81.41463415,1.309501514,0.885735981,0.252533821,8919.614093,38947.2089,166404.718,227338.41,0
-4.247356266,66.244,3.763079037,0.75639086,1.521299207,19048.86277,25523.12573,237733.1585,358158.2162,0
-2.599888351,78.3902439,5.02729993,0.876651299,0.759434764,50454.04252,119736.5124,724901.8555,1056043,0
5.397897543,74.745,1.415740207,0.979409219,6.215623149,88141.28675,13406.64584,33578.92359,57096.33,0
